	Marker - Bat Handle			Marker - Bat Hands			Marker - Bat COM			Marker - Bat Top Cap			Marker - Bat Bottom Cap			Virtual Marker - End of Bat			Virtual Marker - Center of Bat		
	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
Index	Series	Series	Series	Series	Series	Series	Series	Series	Series	Series	Series	Series	Series	Series	Series	Series	Series	Series	Series	Series	Series
1	-75.269279	385.60437	1230.737915	-176.510925	584.503113	1536.274536	-224.321228	686.61145	1694.919067	-291.200623	809.948059	1897.887451	-308.915131	740.25238	1930.538452	-300.057892	775.10022	1914.213013	-187.663589	580.352295	1572.475464
2	-75.573807	385.597595	1230.37915	-176.927567	583.900452	1536.211182	-224.803162	685.76532	1695.049683	-291.583038	808.719299	1898.179443	-309.371979	738.967041	1930.718506	-300.477509	773.843201	1914.448975	-188.025665	579.720398	1572.414063
3	-75.889107	385.585419	1230.01416	-177.344833	583.297913	1536.145752	-225.282028	684.917664	1695.177002	-291.967987	807.494019	1898.471802	-309.827972	737.683472	1930.895508	-300.89798	772.588745	1914.683716	-188.393555	579.087097	1572.348999
4	-76.226303	385.562469	1229.636841	-177.763458	582.695557	1536.07666	-225.755432	684.067505	1695.298828	-292.357086	806.274597	1898.764648	-310.282776	736.403625	1931.067139	-301.319946	771.339111	1914.915894	-188.773117	578.450806	1572.276367
5	-76.595139	385.524048	1229.241943	-178.184219	582.093445	1536.002563	-226.222061	683.215027	1695.413696	-292.750946	805.062439	1899.058105	-310.736877	735.1297	1931.232178	-301.743927	770.096069	1915.145142	-189.169525	577.810059	1572.193481
6	-77.002068	385.467133	1228.826538	-178.608017	581.491516	1535.922852	-226.681717	682.360901	1695.521118	-293.149414	803.858398	1899.351685	-311.191315	733.86377	1931.390503	-302.17038	768.861084	1915.371094	-189.586227	577.164124	1572.098877
7	-77.449837	385.39093	1228.390015	-179.035736	580.890076	1535.83667	-227.135498	681.506592	1695.620972	-293.551697	802.663147	1899.644775	-311.647278	732.607422	1931.542358	-302.599487	767.635315	1915.593506	-190.024658	576.513123	1571.991699
8	-77.937714	385.296692	1227.93457	-179.46814	580.289673	1535.743896	-227.585342	680.653503	1695.713379	-293.957031	801.476807	1899.936279	-312.106049	731.361816	1931.688232	-303.031555	766.419312	1915.812256	-190.484634	575.857971	1571.873413
9	-78.460991	385.187347	1227.465576	-179.905624	579.690796	1535.644165	-228.033524	679.802979	1695.798828	-294.364838	800.299194	1900.224976	-312.568512	730.127197	1931.828369	-303.466675	765.213196	1916.026611	-190.963837	575.200256	1571.746094
10	-79.011818	385.06665	1226.98877	-180.348312	579.093933	1535.537354	-228.48233	678.956055	1695.877808	-294.774994	799.129883	1900.509644	-313.035065	728.903137	1931.963135	-303.905029	764.016479	1916.23645	-191.458435	574.541565	1571.612671
11	-79.581337	384.938477	1226.509033	-180.796204	578.499329	1535.42334	-228.933701	678.113647	1695.951172	-295.187408	797.967957	1900.78894	-313.505798	727.688965	1932.092407	-304.346619	762.82843	1916.440674	-191.963974	573.883423	1571.474854
12	-80.161339	384.80658	1226.028564	-181.249191	577.907654	1535.302368	-229.388992	677.27655	1696.019531	-295.602203	796.811951	1901.061157	-313.98111	726.483887	1932.216309	-304.791656	761.647888	1916.638794	-192.476486	573.227234	1571.333618
13	-80.74472	384.675232	1225.549194	-181.707092	577.319763	1535.174805	-229.848709	676.445313	1696.083374	-296.019379	795.660583	1901.325073	-314.461395	725.286926	1932.334595	-305.240387	760.473755	1916.829834	-192.992554	572.574463	1571.189453
14	-81.325363	384.549072	1225.073242	-182.169632	576.736389	1535.041382	-230.312759	675.619873	1696.142822	-296.438995	794.512329	1901.579834	-314.947205	724.096924	1932.447021	-305.693085	759.304626	1917.013428	-193.509232	571.92688	1571.043335
15	-81.898651	384.432129	1224.603516	-182.636688	576.158142	1534.902344	-230.780579	674.799927	1696.197876	-296.861023	793.365601	1901.824829	-315.439545	722.91272	1932.553467	-306.150299	758.13916	1917.189209	-194.024475	571.285645	1570.896362
